,Topic # 00,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09,Topic # 10,Topic # 11,Topic # 12,Topic # 13,Topic # 14,Topic # 15,Topic # 16,Topic # 17,Topic # 18,Topic # 19
0,politik,europa,familie,rente,energien,jung,steuerlich,wettbewerb,bundeswehr,digital,wohnungsbau,kriminalität,arbeitsplatz,gemeinde,landwirtschaft,ausländer,zusammenarbeit,bildung,kultur,familie
1,sozial,europäisch,kindern,rentenversicherung,erneuerbar,jugendliche,steuerrecht,wettbewerbsfähigkeit,soldat,digitalisierung,wohnung,gewalt,arbeiten,verwaltung,landwirte,verkehrsprojekt,sicherheitspolitik,schule,kulturell,dürfen
2,deutschland,union,gesellschaft,medizinisch,umwelt,generation,steuer,unterstützen,soldatinn,digitaler,gesellschaft,polizei,arbeit,region,landwirtschaftlich,flüchtling,europäisch,hochschule,identität,kindern
3,regierung,gemeinsam,verbessern,gesetzlich,umweltschutz,jugend,steuersystem,international,wehrpflicht,zeitalter,solidarität,wirksam,arbeitnehmer,regional,kulturlandschaft,asylbewerber,militärisch,gleichwertigkeit,kulturnation,kindergrundfreibetrag
4,familie,deutschland,erziehung,pflegeversicherung,energie,jugendarbeitslosigkeit,verbessern,wettbewerbsfähig,sicherheit,urheberrecht,sozial,extremismus,neu,öffentlich,umwelt,asylrecht,sicherheitspolitisch,akademisch,deutschland,alterssicherung
5,europäisch,herausforderung,unterstützung,alt,klimaschutz,jugendarbeit,verringern,legislaturperiode,militärisch,chance,wohnraum,kriminell,arbeitsverhältnisse,gemeinsam,artenvielfalt,illegal,sicherheit,bildungssystem,tradition,kindergeld
6,berlin,freiheit,mütter,altersvorsorge,kernenergie,schule,steuerbelastung,deutsch,terrorismus,verwaltung,wohngeld,toleranz,arbeitsmarkt,sollen,agrarpolitik,zuwanderung,verteidigungspolitik,hochschul,biologisch,modern
7,union,verantwortung,familiär,alter,energieversorgung,jugendstrafrecht,vermögensteuer,verbessern,bedrohung,elektronisch,wohnungen,strafe,dürfen,bürokratiekoste,ökologisch,asyl,kommunistisch,dual,land,zukunftsfester
8,politisch,brauchen,kindergeld,gesundheitswesen,nachhaltig,jugendlich,steuererhöhung,wettbewerbsverzerrung,international,intelligenz,wohneigentum,polizeilich,beschäftigung,lösung,ernährung,asylverfahren,union,berufsausbildung,kreativwirtschaft,drei
9,zukunft,international,kindererziehung,pflegerisch,ökologisch,chance,vereinfachen,wettbewerbsbedingung,terrorist,öffentlich,partnerschaft,gesetz,tarifvertrag,innenstädte,natur,bundesverkehrswegeplan,strategisch,bildungsrepublik,national,neu
10,europa,partner,väter,krankenversicherung,klimawandel,berufsausbildung,dienstleistung,investition,polizei,cyber,wohnungsangebot,verhindern,beschäftigungssicherung,interesse,sichern,ausländerrecht,friedenspolitik,hochschulpakt,vielfältig,familiengeld
11,gemeinsam,weltweit,kinderfreibetrag,sozial,energieeffizienz,gesellschaft,steuerhinterziehung,markt,modern,sicher,mieterhöhung,terroristisch,sozialhilfe,partner,alternative,ausreisepflichtig,politisch,hochschulen,deutsch,wahlfreiheit
12,gesellschaft,westlich,familienfreundlich,alterssicherung,energiequell,täter,kapitalgesellschaft,brauchen,terroristisch,einfach,gemeinschaft,verbessern,möglichkeit,förderprogramm,landschaft,kommen,afghanistan,brauchen,regional,modernisierungsjahrzehnen
13,interesse,politisch,arbeitswelt,pflege,deutschland,brauchen,besteuerung,standard,verteidigung,lösung,mietwohnungsbau,videokameras,langzeitarbeitslos,staatlich,landwirt,deutschland,entspannungspolitik,herausforderung,erinnerung,perfektionismus
14,christlich,sicherheit,erhöhen,gesundheitssystem,nutzen,unterstützen,insbesondere,industrie,dienst,gut,wahlperiode,schützen,arbeitslose,schnell,familienbetrieb,intelligent,polizei,ausbildungspakt,bestandteil,dynamik
