Topic,Words,Frequency,Timestamp,Name
-1,"ökologisch, politik, müssen, sozial, fordern",176,1980,-1_müssen_sollen_neu_mehr
0,"sinnvoll, schüler, freizeitmöglichkeit, patientengruppe, therapeutische",15,1980,Jugendbildung
1,"politik, ökologisch, widerstand, lebens, umweltschutz",25,1980,Politik
2,"erziehungstätigkeit, vollberuf, weiblichkeit, hausfrau, männerberuf",7,1980,Gleichberechtigung
3,"datenerhebung, sozialistisch, realexistierender, frühling, programmen",3,1980,EU
4,"erziehung, kinderhäuser, außenseiter, erziehungsgehalt, geburtenkontrolle",7,1980,Familie
5,"energieerzeugung, energiepolitik, umweltfreundlich, energien, umweltschutz",10,1980,Energiewende
6,"fahrpreise, schienenverkehr, nahverkehr, fahrradwegnetz, verkehrszone",8,1980,Verkehrswende
7,"ausländisch, terrororganisatione, polizeigesetzgebung, arbeiter, mitbürger",3,1980,Einwanderung
8,"zerstörung, einpunktpartei, smogkatastrophe, mineralien, ökologischnaturwissenschaftlich",10,1980,Klimaschutz
9,"pflanzenwelt, vermindern, landschaftspfleg, mischwälder, regenerationskräfte",5,1980,Landwirtschaft
10,"demokratie, stadtteildemokratie, versammlungs, humanisierung, meinungsfreiheit",7,1980,10_demokratie_demokratisch_politisch_gesellschaft
11,"beschäftigungspolitik, zerstörend, leichtlohngruppen, stundenwoch, teilzeitbeschäftigung",5,1980,11_arbeitszeitverkürzung_arbeit_arbeitszeit_job
12,"medizin, gruppe, interesse, rente, rentenversicherung",1,1980,12_rente_rentenversicherung_krankenversicherung_altersvorsorge
13,"bundesparteie, usaregierung, atomare, raketen, atomarer",5,1980,13_militärisch_atomwaffe_bundeswehr_atomar
14,"kontrollstelle, eingriffsbefugnisse, durchsuchung, polizei, verfassungsschutz",1,1980,14_polizei_verfassungsschutz_geheimdienst_polizeilich
16,"anmelde, genehmigungspflichtig, chemisch, verbessert, waffe",5,1980,16_klar_diskriminierung_dürfen_unzureichend
17,"medium, kultur, kulturell, finanzierung, kunst",3,1980,17_kultur_kulturell_kunst_kultureinrichtung
18,"partnerschaftlich, zusammen, freiheit, zusammenarbeit, welt",2,1980,18_freiheit_transformation_brauchen_sozial
19,"medieninitiativ, giftstoff, videowerkstätt, popularklage, verkehrsberuhigt",10,1980,19_zeit_schuld_nahverkehr_verbraucherrechte
20,"einkommensverteilung, widerstandsformen, ungleichheit, arbeitszeitverkürzung, arm",3,1980,20_arbeitslosigkeit_sozial_arbeitsmarkt_arbeitslosenversicherung
21,"motorisiert, gigantisch, straßenverkehr, fast, mensch",5,1980,21_dafür_lehnen_gemeinsam_kämpfen
22,"zigeuner, kulturelle, roma, garantieren, digital",1,1980,22_digital_digitalisierung_wandel_arbeitswelt
23,"wahlplattform, bundestagswahl, bundesversammlung, kapitalkräftig, harrisburg",6,1980,23_koalition_bundestagswahl_wirtschaftspolitik_parlament
26,"datenschutzorgane, hineinwachsen, datenvernichtung, landschaftspflege, glücklich",4,1980,26_datenschutz_datum_schützen_sicherheit
27,"lebensgefahren, krankheien, physisch, krank, psychisch",2,1980,27_pflegebedürftig_pflege_alt_pflegen
